instant;dteday;season;yr;mnth;hr;holiday;weekday;workingday
126;06.01.11;1;0;1;11;0;4;1
127;06.01.11;1;0;1;12;0;4;1
128;06.01.11;1;0;1;13;0;4;1
129;06.01.11;1;0;1;14;0;4;1
130;06.01.11;1;0;1;15;0;4;1
131;06.01.11;1;0;1;16;0;4;1
132;06.01.11;1;0;1;17;0;4;1
133;06.01.11;1;0;1;18;0;4;1
134;06.01.11;1;0;1;19;0;4;1
135;06.01.11;1;0;1;20;0;4;1
136;06.01.11;1;0;1;21;0;4;1
137;06.01.11;1;0;1;22;0;4;1
138;06.01.11;1;0;1;23;0;4;1
139;07.01.11;1;0;1;0;0;5;1
140;07.01.11;1;0;1;1;0;5;1
141;07.01.11;1;0;1;2;0;5;1
142;07.01.11;1;0;1;4;0;5;1
143;07.01.11;1;0;1;5;0;5;1
144;07.01.11;1;0;1;6;0;5;1
145;07.01.11;1;0;1;7;0;5;1
146;07.01.11;1;0;1;8;0;5;1
147;07.01.11;1;0;1;9;0;5;1
148;07.01.11;1;0;1;10;0;5;1
149;07.01.11;1;0;1;11;0;5;1
150;07.01.11;1;0;1;12;0;5;1
151;07.01.11;1;0;1;13;0;5;1
152;07.01.11;1;0;1;14;0;5;1
153;07.01.11;1;0;1;15;0;5;1
154;07.01.11;1;0;1;16;0;5;1
155;07.01.11;1;0;1;17;0;5;1
156;07.01.11;1;0;1;18;0;5;1
157;07.01.11;1;0;1;19;0;5;1
158;07.01.11;1;0;1;20;0;5;1
159;07.01.11;1;0;1;21;0;5;1
160;07.01.11;1;0;1;22;0;5;1
161;07.01.11;1;0;1;23;0;5;1
162;08.01.11;1;0;1;0;0;6;0
163;08.01.11;1;0;1;1;0;6;0
164;08.01.11;1;0;1;2;0;6;0
165;08.01.11;1;0;1;3;0;6;0
166;08.01.11;1;0;1;4;0;6;0
167;08.01.11;1;0;1;5;0;6;0
168;08.01.11;1;0;1;6;0;6;0
169;08.01.11;1;0;1;7;0;6;0
170;08.01.11;1;0;1;8;0;6;0
171;08.01.11;1;0;1;9;0;6;0
172;08.01.11;1;0;1;10;0;6;0
173;08.01.11;1;0;1;11;0;6;0
174;08.01.11;1;0;1;12;0;6;0
175;08.01.11;1;0;1;13;0;6;0
176;08.01.11;1;0;1;14;0;6;0
177;08.01.11;1;0;1;15;0;6;0
178;08.01.11;1;0;1;16;0;6;0
179;08.01.11;1;0;1;17;0;6;0
180;08.01.11;1;0;1;18;0;6;0
181;08.01.11;1;0;1;19;0;6;0
182;08.01.11;1;0;1;20;0;6;0
183;08.01.11;1;0;1;21;0;6;0
184;08.01.11;1;0;1;22;0;6;0
185;08.01.11;1;0;1;23;0;6;0
186;09.01.11;1;0;1;0;0;0;0
187;09.01.11;1;0;1;1;0;0;0
188;09.01.11;1;0;1;2;0;0;0
189;09.01.11;1;0;1;3;0;0;0
190;09.01.11;1;0;1;4;0;0;0
191;09.01.11;1;0;1;5;0;0;0
192;09.01.11;1;0;1;6;0;0;0
193;09.01.11;1;0;1;7;0;0;0
194;09.01.11;1;0;1;8;0;0;0
195;09.01.11;1;0;1;9;0;0;0
196;09.01.11;1;0;1;10;0;0;0
197;09.01.11;1;0;1;11;0;0;0
198;09.01.11;1;0;1;12;0;0;0
199;09.01.11;1;0;1;13;0;0;0
200;09.01.11;1;0;1;14;0;0;0
201;09.01.11;1;0;1;15;0;0;0
202;09.01.11;1;0;1;16;0;0;0
203;09.01.11;1;0;1;17;0;0;0
204;09.01.11;1;0;1;18;0;0;0
205;09.01.11;1;0;1;19;0;0;0
206;09.01.11;1;0;1;20;0;0;0
207;09.01.11;1;0;1;21;0;0;0
208;09.01.11;1;0;1;22;0;0;0
209;09.01.11;1;0;1;23;0;0;0
210;10.01.11;1;0;1;0;0;1;1
211;10.01.11;1;0;1;1;0;1;1
212;10.01.11;1;0;1;2;0;1;1
213;10.01.11;1;0;1;3;0;1;1
214;10.01.11;1;0;1;4;0;1;1
215;10.01.11;1;0;1;5;0;1;1
216;10.01.11;1;0;1;6;0;1;1
217;10.01.11;1;0;1;7;0;1;1
218;10.01.11;1;0;1;8;0;1;1
219;10.01.11;1;0;1;9;0;1;1
220;10.01.11;1;0;1;10;0;1;1
221;10.01.11;1;0;1;11;0;1;1
222;10.01.11;1;0;1;12;0;1;1
223;10.01.11;1;0;1;13;0;1;1
224;10.01.11;1;0;1;14;0;1;1
225;10.01.11;1;0;1;15;0;1;1
226;10.01.11;1;0;1;16;0;1;1
227;10.01.11;1;0;1;17;0;1;1
228;10.01.11;1;0;1;18;0;1;1
229;10.01.11;1;0;1;19;0;1;1
230;10.01.11;1;0;1;20;0;1;1
231;10.01.11;1;0;1;21;0;1;1
232;10.01.11;1;0;1;22;0;1;1
233;10.01.11;1;0;1;23;0;1;1
234;11.01.11;1;0;1;0;0;2;1
235;11.01.11;1;0;1;1;0;2;1
236;11.01.11;1;0;1;2;0;2;1
237;11.01.11;1;0;1;5;0;2;1
238;11.01.11;1;0;1;6;0;2;1
239;11.01.11;1;0;1;7;0;2;1
240;11.01.11;1;0;1;8;0;2;1
241;11.01.11;1;0;1;9;0;2;1
242;11.01.11;1;0;1;10;0;2;1
243;11.01.11;1;0;1;11;0;2;1
244;11.01.11;1;0;1;12;0;2;1
245;11.01.11;1;0;1;13;0;2;1
246;11.01.11;1;0;1;14;0;2;1
247;11.01.11;1;0;1;15;0;2;1
248;11.01.11;1;0;1;16;0;2;1
249;11.01.11;1;0;1;17;0;2;1
250;11.01.11;1;0;1;18;0;2;1
251;11.01.11;1;0;1;19;0;2;1
252;11.01.11;1;0;1;20;0;2;1
253;11.01.11;1;0;1;21;0;2;1
254;11.01.11;1;0;1;22;0;2;1
255;11.01.11;1;0;1;23;0;2;1
256;12.01.11;1;0;1;0;0;3;1
257;12.01.11;1;0;1;1;0;3;1
258;12.01.11;1;0;1;2;0;3;1
259;12.01.11;1;0;1;5;0;3;1
260;12.01.11;1;0;1;6;0;3;1
261;12.01.11;1;0;1;7;0;3;1
262;12.01.11;1;0;1;8;0;3;1
263;12.01.11;1;0;1;9;0;3;1
264;12.01.11;1;0;1;10;0;3;1
265;12.01.11;1;0;1;11;0;3;1
266;12.01.11;1;0;1;12;0;3;1
267;12.01.11;1;0;1;13;0;3;1
268;12.01.11;1;0;1;14;0;3;1
269;12.01.11;1;0;1;15;0;3;1
270;12.01.11;1;0;1;16;0;3;1
271;12.01.11;1;0;1;17;0;3;1
272;12.01.11;1;0;1;18;0;3;1
273;12.01.11;1;0;1;19;0;3;1
274;12.01.11;1;0;1;20;0;3;1
275;12.01.11;1;0;1;21;0;3;1
276;12.01.11;1;0;1;22;0;3;1
277;12.01.11;1;0;1;23;0;3;1
278;13.01.11;1;0;1;0;0;4;1
279;13.01.11;1;0;1;1;0;4;1
280;13.01.11;1;0;1;2;0;4;1
281;13.01.11;1;0;1;3;0;4;1
282;13.01.11;1;0;1;4;0;4;1
283;13.01.11;1;0;1;5;0;4;1
284;13.01.11;1;0;1;6;0;4;1
285;13.01.11;1;0;1;7;0;4;1
286;13.01.11;1;0;1;8;0;4;1
287;13.01.11;1;0;1;9;0;4;1
288;13.01.11;1;0;1;10;0;4;1
289;13.01.11;1;0;1;11;0;4;1
290;13.01.11;1;0;1;12;0;4;1
291;13.01.11;1;0;1;13;0;4;1
292;13.01.11;1;0;1;14;0;4;1
293;13.01.11;1;0;1;15;0;4;1
294;13.01.11;1;0;1;16;0;4;1
295;13.01.11;1;0;1;17;0;4;1
296;13.01.11;1;0;1;18;0;4;1
297;13.01.11;1;0;1;19;0;4;1
298;13.01.11;1;0;1;20;0;4;1
299;13.01.11;1;0;1;21;0;4;1
300;13.01.11;1;0;1;22;0;4;1
301;13.01.11;1;0;1;23;0;4;1
302;14.01.11;1;0;1;0;0;5;1
303;14.01.11;1;0;1;1;0;5;1
304;14.01.11;1;0;1;2;0;5;1
305;14.01.11;1;0;1;3;0;5;1
306;14.01.11;1;0;1;5;0;5;1
307;14.01.11;1;0;1;6;0;5;1
308;14.01.11;1;0;1;7;0;5;1
309;14.01.11;1;0;1;8;0;5;1
310;14.01.11;1;0;1;9;0;5;1
311;14.01.11;1;0;1;10;0;5;1
312;14.01.11;1;0;1;11;0;5;1
313;14.01.11;1;0;1;12;0;5;1
314;14.01.11;1;0;1;13;0;5;1
315;14.01.11;1;0;1;14;0;5;1
316;14.01.11;1;0;1;15;0;5;1
317;14.01.11;1;0;1;16;0;5;1
318;14.01.11;1;0;1;17;0;5;1
319;14.01.11;1;0;1;18;0;5;1
320;14.01.11;1;0;1;19;0;5;1
321;14.01.11;1;0;1;20;0;5;1
322;14.01.11;1;0;1;21;0;5;1
323;14.01.11;1;0;1;22;0;5;1
324;14.01.11;1;0;1;23;0;5;1
325;15.01.11;1;0;1;0;0;6;0
326;15.01.11;1;0;1;1;0;6;0
327;15.01.11;1;0;1;2;0;6;0
328;15.01.11;1;0;1;3;0;6;0
329;15.01.11;1;0;1;4;0;6;0
330;15.01.11;1;0;1;5;0;6;0
331;15.01.11;1;0;1;6;0;6;0
332;15.01.11;1;0;1;7;0;6;0
333;15.01.11;1;0;1;8;0;6;0
334;15.01.11;1;0;1;9;0;6;0
335;15.01.11;1;0;1;10;0;6;0
336;15.01.11;1;0;1;11;0;6;0
337;15.01.11;1;0;1;12;0;6;0
338;15.01.11;1;0;1;13;0;6;0
339;15.01.11;1;0;1;14;0;6;0
340;15.01.11;1;0;1;15;0;6;0
341;15.01.11;1;0;1;16;0;6;0
342;15.01.11;1;0;1;17;0;6;0
343;15.01.11;1;0;1;18;0;6;0
344;15.01.11;1;0;1;19;0;6;0
345;15.01.11;1;0;1;20;0;6;0
346;15.01.11;1;0;1;21;0;6;0
347;15.01.11;1;0;1;22;0;6;0
348;15.01.11;1;0;1;23;0;6;0
349;16.01.11;1;0;1;0;0;0;0
350;16.01.11;1;0;1;1;0;0;0
351;16.01.11;1;0;1;2;0;0;0
352;16.01.11;1;0;1;3;0;0;0
353;16.01.11;1;0;1;4;0;0;0
354;16.01.11;1;0;1;5;0;0;0
355;16.01.11;1;0;1;6;0;0;0
356;16.01.11;1;0;1;7;0;0;0
357;16.01.11;1;0;1;8;0;0;0
358;16.01.11;1;0;1;9;0;0;0
359;16.01.11;1;0;1;10;0;0;0
360;16.01.11;1;0;1;11;0;0;0
361;16.01.11;1;0;1;12;0;0;0
362;16.01.11;1;0;1;13;0;0;0
363;16.01.11;1;0;1;14;0;0;0
364;16.01.11;1;0;1;15;0;0;0
365;16.01.11;1;0;1;16;0;0;0
366;16.01.11;1;0;1;17;0;0;0
367;16.01.11;1;0;1;18;0;0;0
368;16.01.11;1;0;1;19;0;0;0
369;16.01.11;1;0;1;20;0;0;0
370;16.01.11;1;0;1;21;0;0;0
371;16.01.11;1;0;1;22;0;0;0
372;16.01.11;1;0;1;23;0;0;0
373;17.01.11;1;0;1;0;1;1;0
374;17.01.11;1;0;1;1;1;1;0
375;17.01.11;1;0;1;2;1;1;0
376;17.01.11;1;0;1;3;1;1;0
377;17.01.11;1;0;1;4;1;1;0
378;17.01.11;1;0;1;5;1;1;0
379;17.01.11;1;0;1;6;1;1;0
380;17.01.11;1;0;1;7;1;1;0
381;17.01.11;1;0;1;8;1;1;0
382;17.01.11;1;0;1;9;1;1;0
383;17.01.11;1;0;1;10;1;1;0
384;17.01.11;1;0;1;11;1;1;0
385;17.01.11;1;0;1;12;1;1;0
386;17.01.11;1;0;1;13;1;1;0
387;17.01.11;1;0;1;14;1;1;0
388;17.01.11;1;0;1;15;1;1;0
389;17.01.11;1;0;1;16;1;1;0
390;17.01.11;1;0;1;17;1;1;0
391;17.01.11;1;0;1;18;1;1;0
392;17.01.11;1;0;1;19;1;1;0
393;17.01.11;1;0;1;20;1;1;0
394;17.01.11;1;0;1;21;1;1;0
395;17.01.11;1;0;1;22;1;1;0
396;17.01.11;1;0;1;23;1;1;0
397;18.01.11;1;0;1;12;0;2;1
398;18.01.11;1;0;1;13;0;2;1
399;18.01.11;1;0;1;14;0;2;1
400;18.01.11;1;0;1;15;0;2;1
401;18.01.11;1;0;1;16;0;2;1
402;18.01.11;1;0;1;17;0;2;1
403;18.01.11;1;0;1;18;0;2;1
404;18.01.11;1;0;1;19;0;2;1
405;18.01.11;1;0;1;20;0;2;1
406;18.01.11;1;0;1;21;0;2;1
407;18.01.11;1;0;1;22;0;2;1
408;18.01.11;1;0;1;23;0;2;1
409;19.01.11;1;0;1;0;0;3;1
410;19.01.11;1;0;1;1;0;3;1
411;19.01.11;1;0;1;2;0;3;1
412;19.01.11;1;0;1;4;0;3;1
413;19.01.11;1;0;1;5;0;3;1
414;19.01.11;1;0;1;6;0;3;1
415;19.01.11;1;0;1;7;0;3;1
416;19.01.11;1;0;1;8;0;3;1
417;19.01.11;1;0;1;9;0;3;1
418;19.01.11;1;0;1;10;0;3;1
419;19.01.11;1;0;1;11;0;3;1
420;19.01.11;1;0;1;12;0;3;1
421;19.01.11;1;0;1;13;0;3;1
422;19.01.11;1;0;1;14;0;3;1
423;19.01.11;1;0;1;15;0;3;1
424;19.01.11;1;0;1;16;0;3;1
425;19.01.11;1;0;1;17;0;3;1
426;19.01.11;1;0;1;18;0;3;1
427;19.01.11;1;0;1;19;0;3;1
428;19.01.11;1;0;1;20;0;3;1
429;19.01.11;1;0;1;21;0;3;1
430;19.01.11;1;0;1;22;0;3;1
431;19.01.11;1;0;1;23;0;3;1
432;20.01.11;1;0;1;0;0;4;1
433;20.01.11;1;0;1;1;0;4;1
434;20.01.11;1;0;1;2;0;4;1
435;20.01.11;1;0;1;3;0;4;1
436;20.01.11;1;0;1;4;0;4;1
437;20.01.11;1;0;1;5;0;4;1
438;20.01.11;1;0;1;6;0;4;1
439;20.01.11;1;0;1;7;0;4;1
440;20.01.11;1;0;1;8;0;4;1
441;20.01.11;1;0;1;9;0;4;1
442;20.01.11;1;0;1;10;0;4;1
443;20.01.11;1;0;1;11;0;4;1
444;20.01.11;1;0;1;12;0;4;1
445;20.01.11;1;0;1;13;0;4;1
446;20.01.11;1;0;1;14;0;4;1
447;20.01.11;1;0;1;15;0;4;1
448;20.01.11;1;0;1;16;0;4;1
449;20.01.11;1;0;1;17;0;4;1
450;20.01.11;1;0;1;18;0;4;1
451;20.01.11;1;0;1;19;0;4;1
452;20.01.11;1;0;1;20;0;4;1
453;20.01.11;1;0;1;21;0;4;1
454;20.01.11;1;0;1;22;0;4;1
455;20.01.11;1;0;1;23;0;4;1
456;21.01.11;1;0;1;0;0;5;1
457;21.01.11;1;0;1;1;0;5;1
458;21.01.11;1;0;1;2;0;5;1
459;21.01.11;1;0;1;3;0;5;1
460;21.01.11;1;0;1;4;0;5;1
461;21.01.11;1;0;1;5;0;5;1
462;21.01.11;1;0;1;6;0;5;1
463;21.01.11;1;0;1;7;0;5;1
464;21.01.11;1;0;1;8;0;5;1
465;21.01.11;1;0;1;9;0;5;1
466;21.01.11;1;0;1;10;0;5;1
467;21.01.11;1;0;1;11;0;5;1
468;21.01.11;1;0;1;12;0;5;1
469;21.01.11;1;0;1;13;0;5;1
470;21.01.11;1;0;1;14;0;5;1
471;21.01.11;1;0;1;15;0;5;1
472;21.01.11;1;0;1;16;0;5;1
473;21.01.11;1;0;1;17;0;5;1
474;21.01.11;1;0;1;18;0;5;1
475;21.01.11;1;0;1;19;0;5;1
476;21.01.11;1;0;1;20;0;5;1
477;21.01.11;1;0;1;21;0;5;1
478;21.01.11;1;0;1;22;0;5;1
479;21.01.11;1;0;1;23;0;5;1
480;22.01.11;1;0;1;0;0;6;0
481;22.01.11;1;0;1;1;0;6;0
482;22.01.11;1;0;1;2;0;6;0
483;22.01.11;1;0;1;3;0;6;0
484;22.01.11;1;0;1;4;0;6;0
485;22.01.11;1;0;1;6;0;6;0
486;22.01.11;1;0;1;7;0;6;0
487;22.01.11;1;0;1;8;0;6;0
488;22.01.11;1;0;1;9;0;6;0
489;22.01.11;1;0;1;10;0;6;0
490;22.01.11;1;0;1;11;0;6;0
491;22.01.11;1;0;1;12;0;6;0
492;22.01.11;1;0;1;13;0;6;0
493;22.01.11;1;0;1;14;0;6;0
494;22.01.11;1;0;1;15;0;6;0
495;22.01.11;1;0;1;16;0;6;0
496;22.01.11;1;0;1;17;0;6;0
497;22.01.11;1;0;1;18;0;6;0
498;22.01.11;1;0;1;19;0;6;0
499;22.01.11;1;0;1;20;0;6;0
500;22.01.11;1;0;1;21;0;6;0
501;22.01.11;1;0;1;22;0;6;0
502;22.01.11;1;0;1;23;0;6;0
503;23.01.11;1;0;1;0;0;0;0
504;23.01.11;1;0;1;1;0;0;0
505;23.01.11;1;0;1;2;0;0;0
506;23.01.11;1;0;1;3;0;0;0
507;23.01.11;1;0;1;5;0;0;0
508;23.01.11;1;0;1;6;0;0;0
509;23.01.11;1;0;1;7;0;0;0
510;23.01.11;1;0;1;8;0;0;0
511;23.01.11;1;0;1;9;0;0;0
512;23.01.11;1;0;1;10;0;0;0
513;23.01.11;1;0;1;11;0;0;0
514;23.01.11;1;0;1;12;0;0;0
515;23.01.11;1;0;1;13;0;0;0
516;23.01.11;1;0;1;14;0;0;0
517;23.01.11;1;0;1;15;0;0;0
518;23.01.11;1;0;1;16;0;0;0
519;23.01.11;1;0;1;17;0;0;0
520;23.01.11;1;0;1;18;0;0;0
521;23.01.11;1;0;1;19;0;0;0
522;23.01.11;1;0;1;20;0;0;0
523;23.01.11;1;0;1;21;0;0;0
524;23.01.11;1;0;1;22;0;0;0
525;23.01.11;1;0;1;23;0;0;0
526;24.01.11;1;0;1;0;0;1;1
527;24.01.11;1;0;1;1;0;1;1
528;24.01.11;1;0;1;3;0;1;1
529;24.01.11;1;0;1;4;0;1;1
530;24.01.11;1;0;1;5;0;1;1
531;24.01.11;1;0;1;6;0;1;1
532;24.01.11;1;0;1;7;0;1;1
533;24.01.11;1;0;1;8;0;1;1
534;24.01.11;1;0;1;9;0;1;1
535;24.01.11;1;0;1;10;0;1;1
536;24.01.11;1;0;1;11;0;1;1
537;24.01.11;1;0;1;12;0;1;1
538;24.01.11;1;0;1;13;0;1;1
539;24.01.11;1;0;1;14;0;1;1
540;24.01.11;1;0;1;15;0;1;1
541;24.01.11;1;0;1;16;0;1;1
542;24.01.11;1;0;1;17;0;1;1
543;24.01.11;1;0;1;18;0;1;1
544;24.01.11;1;0;1;19;0;1;1
545;24.01.11;1;0;1;20;0;1;1
546;24.01.11;1;0;1;21;0;1;1
547;24.01.11;1;0;1;22;0;1;1
548;24.01.11;1;0;1;23;0;1;1
549;25.01.11;1;0;1;0;0;2;1
550;25.01.11;1;0;1;1;0;2;1
551;25.01.11;1;0;1;2;0;2;1
552;25.01.11;1;0;1;4;0;2;1
553;25.01.11;1;0;1;5;0;2;1
554;25.01.11;1;0;1;6;0;2;1
555;25.01.11;1;0;1;7;0;2;1
556;25.01.11;1;0;1;8;0;2;1
557;25.01.11;1;0;1;9;0;2;1
558;25.01.11;1;0;1;10;0;2;1
559;25.01.11;1;0;1;11;0;2;1
560;25.01.11;1;0;1;12;0;2;1
561;25.01.11;1;0;1;13;0;2;1
562;25.01.11;1;0;1;14;0;2;1
563;25.01.11;1;0;1;15;0;2;1
564;25.01.11;1;0;1;16;0;2;1
565;25.01.11;1;0;1;17;0;2;1
566;25.01.11;1;0;1;18;0;2;1
567;25.01.11;1;0;1;19;0;2;1
568;25.01.11;1;0;1;20;0;2;1
569;25.01.11;1;0;1;21;0;2;1
570;25.01.11;1;0;1;22;0;2;1
571;25.01.11;1;0;1;23;0;2;1
572;26.01.11;1;0;1;0;0;3;1
573;26.01.11;1;0;1;1;0;3;1
574;26.01.11;1;0;1;2;0;3;1
575;26.01.11;1;0;1;5;0;3;1
576;26.01.11;1;0;1;6;0;3;1
577;26.01.11;1;0;1;7;0;3;1
578;26.01.11;1;0;1;8;0;3;1
579;26.01.11;1;0;1;9;0;3;1
580;26.01.11;1;0;1;10;0;3;1
581;26.01.11;1;0;1;11;0;3;1
582;26.01.11;1;0;1;12;0;3;1
583;26.01.11;1;0;1;13;0;3;1
584;26.01.11;1;0;1;14;0;3;1
585;26.01.11;1;0;1;15;0;3;1
586;26.01.11;1;0;1;16;0;3;1
587;26.01.11;1;0;1;17;0;3;1
588;27.01.11;1;0;1;16;0;4;1
589;27.01.11;1;0;1;17;0;4;1
590;27.01.11;1;0;1;18;0;4;1
591;27.01.11;1;0;1;19;0;4;1
592;27.01.11;1;0;1;20;0;4;1
593;27.01.11;1;0;1;21;0;4;1
594;27.01.11;1;0;1;22;0;4;1
595;27.01.11;1;0;1;23;0;4;1
596;28.01.11;1;0;1;0;0;5;1
597;28.01.11;1;0;1;1;0;5;1
598;28.01.11;1;0;1;2;0;5;1
599;28.01.11;1;0;1;3;0;5;1
600;28.01.11;1;0;1;5;0;5;1
601;28.01.11;1;0;1;6;0;5;1
602;28.01.11;1;0;1;7;0;5;1
603;28.01.11;1;0;1;8;0;5;1
604;28.01.11;1;0;1;9;0;5;1
605;28.01.11;1;0;1;10;0;5;1
606;28.01.11;1;0;1;11;0;5;1
607;28.01.11;1;0;1;12;0;5;1
608;28.01.11;1;0;1;13;0;5;1
609;28.01.11;1;0;1;14;0;5;1
610;28.01.11;1;0;1;15;0;5;1
611;28.01.11;1;0;1;16;0;5;1
612;28.01.11;1;0;1;17;0;5;1
613;28.01.11;1;0;1;18;0;5;1
614;28.01.11;1;0;1;19;0;5;1
615;28.01.11;1;0;1;20;0;5;1
616;28.01.11;1;0;1;21;0;5;1
617;28.01.11;1;0;1;22;0;5;1
618;28.01.11;1;0;1;23;0;5;1
619;29.01.11;1;0;1;0;0;6;0
620;29.01.11;1;0;1;1;0;6;0
621;29.01.11;1;0;1;2;0;6;0
622;29.01.11;1;0;1;3;0;6;0
623;29.01.11;1;0;1;4;0;6;0
624;29.01.11;1;0;1;6;0;6;0
625;29.01.11;1;0;1;7;0;6;0
626;29.01.11;1;0;1;8;0;6;0
627;29.01.11;1;0;1;9;0;6;0
628;29.01.11;1;0;1;10;0;6;0
629;29.01.11;1;0;1;11;0;6;0
630;29.01.11;1;0;1;12;0;6;0
631;29.01.11;1;0;1;13;0;6;0
632;29.01.11;1;0;1;14;0;6;0
633;29.01.11;1;0;1;15;0;6;0
